superset,tokens
76,"[312, 409, 345, 759, 16382, 321, 574, 1848, 22247, 1431, 24147, 4546, 8476, 14388, 3708, 2308, 1038, 3156]"
77,"[313, 408, 758, 4799, 10057, 575, 1824, 344, 5894, 10667, 1430, 2142, 14194, 2309, 15477, 5147, 1849, 17729]"
78,"[19309, 380, 358, 13100, 2022, 22884, 415, 2431, 774, 5960, 8979, 2472, 5454, 1625, 10161, 3785, 14610]"
79,"[359, 1638, 10267, 6559, 381, 414, 29220, 3174, 6584, 6762, 6096, 4757, 29594, 13748, 3946, 2169, 4367]"
80,"[288, 1371, 5753, 1274, 2164, 1939, 19689, 2230, 20190, 10173, 20378, 17105, 5403, 1678, 22305, 15509, 14953, 419, 2602, 11563, 22622]"
81,"[289, 8157, 2749, 1584, 7177, 1380, 4211, 27931, 2603, 26311, 828, 22031, 18346, 2586, 2598, 23684, 18054, 1295, 4249, 1552, 11915, 5921]"
82,"[5478, 5491, 740, 11461, 481, 12392, 2894, 25392, 5547, 11664, 5735, 4475, 5637, 2075, 887, 1323, 3439, 20793]"
83,"[886, 4637, 664, 4738, 2625, 519, 2453, 10376, 1641, 3168, 3438, 24601, 20508, 26176, 3632, 2895, 22526]"
84,"[1576, 10672, 5065, 4953, 727, 720, 3805, 3335, 18902, 13899, 1061, 8045, 4630, 2026, 24928, 20648, 22155, 2312, 11647, 8015, 21704]"
85,"[1577, 18530, 1060, 14321, 1765, 6900, 10090, 1299, 3915, 16115, 721, 11681, 2313, 11581, 19647, 1535, 3267, 4162, 8514, 4515, 6038]"
86,"[952, 10008, 10805, 11407, 1267, 3240, 7271, 16637, 1353, 329, 453, 1337, 3018, 13537, 20228, 7935, 2212, 7232, 7899]"
87,"[452, 328, 4971, 27580, 5298, 902, 1336, 15658, 1304, 10489, 953, 12300, 528, 18016, 27884, 3241, 11747, 1913, 3799, 27081]"
88,"[398, 29923, 4507, 1310, 697, 9103, 326, 1111, 1706, 1473, 2941, 11291, 4174, 4940, 28152, 5857, 1691, 2122, 7378, 1505, 11825, 1646, 4103, 2357, 5166]"
89,"[1472, 4828, 327, 1707, 3273, 3196, 399, 4771, 4175, 13622, 10933, 4856, 17814, 12963, 8564, 1004, 935, 17550, 3958, 6280, 25802]"
90,"[5328, 12175, 1026, 5057, 2561, 8128, 28526, 1301, 824, 14218, 394, 1150, 14637, 778, 1125, 26712, 4441, 1527, 4772]"
91,"[1230, 29762, 8104, 1621, 571, 17646, 825, 2560, 14803, 11902, 1300, 7358]"
